title;type;url;mail;endpoint;begin;population;lat;lon;nuts;territorial;municipality
Mülheim an der Ruhr;city;http://open.muelheim-ruhr.de;;;;166654;51.42;6.88;DEA16;51170000000;
Wuppertal;city;http://www.offenedaten-wuppertal.de/;;;2016-09-05;342885;51.25;7.21;DEA1A;51240000000;
Kreis Kleve;district;https://www.offenesdatenportal.de/organization/kreis-kleve;;;;302698;51.78;6.13;DEA1B;5154;
Stadt Kleve;city;https://www.offenesdatenportal.de/organization/stadt-kleve;;;;48172;51.78;6.13;DEA1B036;51540036036;
Wachtendonk;city;https://www.offenesdatenportal.de/organization/gemeinde-wachtendonk;;;;7898;51.4;6.33;DEA1B060;51540060060;
Dormagen;city;https://opendata.dormagen.de;;;2017-12-07;64064;51.09;6.84;DEA1D004;;
Meerbusch;city;https://opendata.meerbusch.de/;;;2017-02-11;56193;51.26;6.67;DEA1D022;51620022022;
Kreis Viersen;district;https://www.offenesdatenportal.de/organization/kreis-viersen;;;;294921;51.25;6.39;DEA1E;5166;
Moers;city;http://offenedaten.moers.de/;;;;103504;51.45;6.62;DEA1F024;51700024024;
Stadt Wesel;city;http://opendata.wesel.de/;;;;60070;51.65;6.61;DEA1F048;51700048048;
Bonn;city;http://opendata.bonn.de/;;;;309869;50.73;7.09;DEA22;53140000000;
Köln;city;http://offenedaten-koeln.de/;;;;1024373;50.93;6.95;DEA23;53150000000;
Heimbach (Eifel);city;http://offenedaten.kdvz-frechen.de/group/heimbach;;;2016-11-08;4366;50.63;6.48;DEA26012;53580012012;
Hürtgenwald;city;http://offenedaten.kdvz-frechen.de/group/h%C3%BCrtgenwald;;;2016-11-08;8780;50.71;6.37;DEA26016;53580016016;
Jülich;city;http://offenedaten.kdvz-frechen.de/group/j%C3%BClich;;;2016-11-08;32601;50.92;6.35;DEA26024;53580024024;
Kreuzau;city;http://offenedaten.kdvz-frechen.de/group/kreuzau;;;2016-11-08;17441;50.74;6.48;DEA26028;53580028028;
Langerwehe;city;http://offenedaten.kdvz-frechen.de/group/langerwehe;;;2016-11-08;13791;50.81;6.34;DEA26032;53580032032;
Linnich;city;http://offenedaten.kdvz-frechen.de/group/linnich;;;2016-11-08;12591;50.97;6.26;DEA26036;53580036036;
Merzenich;city;http://offenedaten.kdvz-frechen.de/group/merzenich;;;2016-11-08;9950;50.83;6.53;DEA26040;53580040040;
Titz;city;http://offenedaten.kdvz-frechen.de/group/titz;;;2016-11-08;8277;51;6.42;DEA26056;53580056056;
Vettweiß;city;http://offenedaten.kdvz-frechen.de/group/vettwei%C3%9F;;;2016-11-08;9223;50.73;6.59;DEA26060;53580060060;
Bedburg;city;http://offenedaten.kdvz-frechen.de/group/bedburg;;;2017-04-29;23334;51;6.56;DEA27004;;
Bergheim;city;http://offenedaten.kdvz-frechen.de/group/bergheim;;;2016-11-08;59656;50.96;6.65;DEA27008;53620008008;
Brühl (Rheinland);city;http://offenedaten.kdvz-frechen.de/group/br%C3%BChl;;;2016-11-08;44768;50.83;6.9;DEA27012;53620012012;
Elsdorf (Rheinland);city;http://offenedaten.kdvz-frechen.de/group/elsdorf;;;2016-11-08;21232;50.93;6.56;DEA27016;53620016016;
Kerpen;city;http://offenedaten.kdvz-frechen.de/group/kerpen;;;2016-11-08;65477;50.87;6.69;DEA27032;53620032032;
Wesseling;city;http://offenedaten.kdvz-frechen.de/group/wesseling;;;2016-11-08;35975;50.82;6.97;DEA27040;53620040040;
Kreis Euskirchen;district;http://offenedaten.kdvz-frechen.de/group/kreis-euskirchen;;;2016-11-08;191165;50.78;6.85;DEA28;5366;
Bad Münstereifel;city;http://offenedaten.kdvz-frechen.de/group/bad-m%C3%BCnstereifel;;;2016-11-08;17367;50.55;6.76;DEA28004;53660004004;
Kall;city;http://offenedaten.kdvz-frechen.de/group/kall;;;2016-11-08;11229;50.54;6.55;DEA28024;53660024024;
Aachen;city;http://offenedaten.aachen.de/;;;;240086;50.77;6.08;DEA2D002;53340002002;
Gelsenkirchen;city;https://opendata.gelsenkirchen.de/;;;2017-05-23;257607;51.51;7.1;DEA32;55130000000;
Münster (Westfalen);city;http://www.muenster.de/stadt/katasteramt/geodatenmanagement.html;;;;296599;51.96;7.62;DEA33;55150000000;
Bochum;city;http://www.bochum.de/opendata;;;;362213;51.48;7.21;DEA51;59110000000;
Herne;city;http://www.herne.de/kommunen/herne/ttw.nsf/id/DE_Open-Data;;;;154563;51.54;7.22;DEA55;59160000000;
Arnsberg;city;http://offenedaten.arnsberg.de;;;;73501;51.39;8.06;DEA5705958004;59580004004;
Rheinland-Pfalz;state;http://daten.rlp.de/;;;;3995000;49.91;7.44;DEB;7;2306
Sachsen;state;http://www.opendata.sachsen.de/;;;;4054000;51.06;13.15;DED;14;432
Chemnitz;city;http://portal-chemnitz.opendata.arcgis.com/;;;2017-03-07;241210;50.83;12.92;DED41;145110000000;
Leipzig;city;https://opendata.leipzig.de;;;;520838;51.34;12.37;DED51;147130000000;
Halle (Saale);city;http://www.daten.halle.de;;;;231440;51.48;11.97;DEE02;150020000000;
Jena;city;https://opendata.jena.de/;;;2016-12-20;106915;50.92;11.58;DEG03;160530000000;
Altenburg;city;http://www.altenburg.eu/sixcms/detail.php;;;;32992;50.98;12.43;DEG0M001;160770001001;
