City;Lat;Lng
Arnsberg;51.400;8.067
Arnschwang;49.283;12.817
Arnsdorf;51.096;14.000
Arnsfeld;50.580;13.120
Arnstadt;50.833;10.955
Arnstein;49.983;9.967
Arnstorf;48.567;12.817
Arolsen;51.383;9.017
Arrach;49.200;13.000
Artern;51.365;11.287
Artlenburg;53.383;10.483
Arzbach;50.383;7.750
Arzberg;50.067;12.183
Arzberg;51.530;13.127
Arzfeld;50.083;6.283
Asbach;50.667;7.433
Asbach-Bäumenheim;48.683;10.817
Ascha;49.000;12.633
Aschaffenburg;49.967;9.150
Aschau am Inn;48.200;12.350
Aschau im Chiemgau;47.783;12.317
Ascheberg;51.783;7.617
Ascheberg (Holstein);54.150;10.350
Aschersleben;51.759;11.451
Aschheim;48.167;11.717
Asendorf;52.767;9.000
Asendorf;53.300;9.983
Aspach;48.967;9.400
Asperg;48.900;9.133
Assamstadt;49.433;9.683
Asslar;50.583;8.467
Assling;48.000;12.000
Attendorn;51.133;7.900
Attenkirchen;48.500;11.767
Attenweiler;48.133;9.700
Atting;48.900;12.483
Atzendorf;51.917;11.594
Au am Rhein;48.950;8.233
Au in der Hallertau;48.567;11.750
Aub;49.550;10.067
Audenhain;51.498;12.842
Aue;50.587;12.717
Auenwald;48.933;9.500
Auerbach;48.800;13.100
Auerbach;50.518;12.402
Auerbach;50.688;12.913
Auerbach in der Oberpfalz;49.700;11.633
Auetal;52.233;9.233
Aufhausen;48.867;12.283
Aufsess;49.883;11.233
Auggen;47.783;7.600
Augsburg;48.367;10.900
Augustdorf;51.917;8.750
Augustusbad;51.138;13.904
Augustusburg;50.814;13.101
Auhagen;52.400;9.283
Aukrug;54.083;9.783
Aulendorf;47.950;9.633
Auma;50.702;11.899
Aumühle;53.533;10.317
Aura im Sinngrund;50.183;9.583
Aurach;49.250;10.417
Aurachtal;49.583;10.833
Aurich;53.467;7.483
Ausleben;52.092;11.112
Aussernzell;48.733;13.200
Axstedt;53.350;8.767
Aying;47.967;11.783
Ayl;49.633;6.550
Aystetten;48.400;10.767
Baalberge;51.764;11.801
Baar;48.667;11.467
Baar;50.350;7.033
Babenhausen;48.150;10.250
Babenhausen;49.967;8.950
Babensham;48.083;12.267
Bach an der Donau;49.017;12.300
Bacharach;50.067;7.767
Bachhagel;48.633;10.317
Backnang;48.950;9.417
Bad Abbach;48.933;12.050
Bad Aibling;47.867;12.017
Bad Alexandersbad;50.017;12.017
Bad Bellingen;47.733;7.550
Bad Bentheim;52.300;7.167
Bad Bergzabern;49.100;8.000
Bad Berka;50.904;11.280
Bad Berleburg;51.050;8.400
Bad Berneck;50.050;11.683
Bad Bertrich;50.067;7.033
Bad Bevensen;53.083;10.583
Bad Bibra;51.209;11.576
Bad Blankenburg;50.686;11.269
Bad Bocklet;50.267;10.083
Bad Brambach;50.229;12.315
Bad Bramstedt;53.917;9.883
Bad Breisig;50.517;7.300
Bad Brückenau;50.317;9.800
Bad Buchau;48.067;9.617
Bad Ditzenbach;48.583;9.700
Bad Doberan;54.108;11.914
Bad Driburg;51.733;9.017
Bad Düben;51.596;12.580
Bad Dürkheim;49.467;8.167
Bad Dürrenberg;51.298;12.054
Bad Dürrheim;48.017;8.533
Bad Eilsen;52.250;9.100
Bad Elster;50.280;12.239
Bad Ems;50.333;7.717
Bad Endbach;50.750;8.500
Bad Essen;52.317;8.333
Bad Feilnbach;47.783;12.000
Bad Frankenhausen;51.358;11.093
Bad Freienwalde;52.784;14.030
Bad Friedrichshall;49.217;9.217
Bad Füssing;48.350;13.317
Bad Gandersheim;51.867;10.033
Bad Gottleuba;50.849;13.949
Bad Grund;51.817;10.233
Bad Harzburg;51.883;10.567
Bad Heilbrunn;47.750;11.450
Bad Herrenalb;48.800;8.433
Bad Hersfeld;50.867;9.717
Bad Homburg Vor der Höhe;50.233;8.617
Bad Honnef;50.650;7.233
Bad Hönningen;50.517;7.317
Bad Iburg;52.167;8.050
Bad Karlshafen;51.650;9.450
Bad Kissingen;50.200;10.083
Bad Kleinen;53.778;11.481
Bad Klosterlausnitz;50.915;11.866
Bad Kohlgrub;47.667;11.050
Bad Kreuznach;49.833;7.867
Bad Krozingen;47.917;7.700
Bad König;49.750;9.000
Bad Königshofen im Grabfeld;50.300;10.467
Bad Kösen;51.138;11.714
Bad Köstritz;50.929;12.011
Bad Laer;52.100;8.083
Bad Langensalza;51.110;10.645
Bad Lauchstädt;51.385;11.870
Bad Lausick;51.147;12.638
Bad Lauterberg im Harz;51.633;10.467
Bad Liebenstein;50.817;10.348
Bad Liebenwerda;51.516;13.399
Bad Liebenzell;48.767;8.733
Bad Lippspringe;51.783;8.817
Bad Marienberg (Westerwald);50.650;7.950
Bad Mergentheim;49.500;9.767
Bad Münder am Deister;52.200;9.467
Bad Münster am Stein;49.817;7.850
Bad Münstereifel;50.550;6.767
Bad Nauheim;50.367;8.750
Bad Nenndorf;52.333;9.383
Bad Neuenahr - Ahrweiler;50.550;7.117
Bad Neustadt an der Saale;50.317;10.217
Bad Oeynhausen;52.200;8.800
Bad Oldesloe;53.817;10.367
Bad Orb;50.233;9.350
Bad Peterstal - Griesbach;48.433;8.200
Bad Pyrmont;51.983;9.267
Bad Rappenau;49.250;9.100
Bad Reichenhall;47.733;12.883
Bad Rippoldsau - Schapbach;48.433;8.333
Bad Rothenfelde;52.117;8.167
Bad Saarow-Pieskow;52.291;14.061
Bad Sachsa;51.600;10.550
Bad Salzdetfurth;52.067;10.017
Bad Salzschlirf;50.633;9.517
Bad Salzuflen;52.083;8.750
Bad Salzungen;50.814;10.228
Bad Sassendorf;51.583;8.167
Bad Schandau;50.924;14.156
Bad Schmiedeberg;51.695;12.732
Bad Schussenried;48.000;9.650
Bad Schwalbach;50.150;8.050
Bad Schwartau;53.917;10.700
Bad Schönborn;49.217;8.650
Bad Segeberg;53.933;10.317
Bad Soden - Salmünster;50.283;9.367
Bad Sooden-Allendorf;51.267;9.967
Bad Steben;50.367;11.650
Bad Sulza;51.089;11.623
Bad Säckingen;47.550;7.950
Bad Sülze;54.110;12.664
Bad Teinach-Zavelstein;48.700;8.683
Bad Tennstedt;51.154;10.836
Bad Tölz;47.767;11.567
Bad Vilbel;50.183;8.733
Bad Waldsee;47.917;9.750
Bad Wiessee;47.717;11.717
Bad Wildungen;51.117;9.133
Bad Wilsnack;52.959;11.948
Bad Wimpfen;49.233;9.167
Bad Windsheim;49.500;10.417
Bad Wurzach;47.917;9.900
Bad Wörishofen;48.000;10.600
Bad Zwischenahn;53.183;8.017
Bad Überkingen;48.600;9.800
Badbergen;52.633;7.983
Baddeckenstedt;52.083;10.233
Badeborn;51.768;11.246
Badem;50.000;6.600
Baden-Baden;48.767;8.233
Badenhausen;51.767;10.217
Badenweiler;47.800;7.667
Badersleben;51.986;10.884
Baesweiler;50.917;6.183
Bahlingen;48.117;7.733
Bahratal;50.837;14.000
Bahrdorf;52.383;11.000
Bahrenborstel;52.567;8.817
Baienfurt;47.833;9.650
Baierbrunn;48.017;11.483
Baiern;47.967;11.917
Baiersbronn;48.500;8.367
Baiersdorf;49.667;11.033
Baindt;47.850;9.667
Baisweil;47.950;10.550
Bakum;52.750;8.200
Balge;52.717;9.183
Balingen;48.283;8.850
Balje;53.833;9.133
Ballenstedt;51.720;11.239
Ballrechten-Dottingen;47.867;7.683
Baltmannsweiler;48.750;9.450
Balve;51.333;7.867
Balzheim;48.183;10.083
Bamberg;49.900;10.883
Bammental;49.350;8.783
Bann;49.383;7.617
Bannesdorf Auf Fehmarn;54.467;11.217
Bannewitz;50.998;13.721
Banteln;52.067;9.750
Barbing;49.000;12.200
Barby;51.970;11.880
Barchfeld;50.800;10.297
Bardowick;53.300;10.400
Barenburg;52.617;8.800
Bargfeld-Stegen;53.767;10.183
Bargstedt;53.467;9.450
Bargteheide;53.733;10.267
Barkelsby;54.500;9.833
Barleben;52.206;11.619
Barmstedt;53.783;9.767
Barneberg;52.122;11.075
Barnstorf;52.717;8.517
Barnstädt;51.344;11.645
Barntrup;51.983;9.117
Barsbüttel;53.567;10.167
Barsinghausen;52.300;9.467
Barssel;53.167;7.750
Barth;54.369;12.727
Bartholomä;48.750;9.983
Bartow;53.817;13.344
Barum;53.050;10.517
Baruth;51.229;14.603
Barver;52.617;8.600
Basdahl;53.450;9.000
Basdorf;52.718;13.436
Bassenheim;50.350;7.467
Bassum;52.850;8.733
Bastheim;50.400;10.200
Battenberg (Eder);51.017;8.650
Baumholder;49.617;7.333
Baunach;49.983;10.850
Baunatal;51.267;9.417
Bautzen;51.186;14.434
Bawinkel;52.600;7.417
Bayerbach;48.417;13.150
Bayerbach Bei Ergoldsbach;48.700;12.300
Bayerisch Eisenstein;49.117;13.200
Bayerisch Gmain;47.733;12.900
Bayreuth;49.950;11.583
Bayrischzell;47.683;12.017
Bebertal;52.239;11.336
Bebra;50.967;9.800
Becherbach;49.650;7.683
Bechhofen;49.150;10.550
Bechhofen;49.350;7.400
Bechtheim;49.733;8.300
Bechtolsheim;49.800;8.200
Beckdorf;53.417;9.617
Beckedorf;52.350;9.317
Beckingen;49.383;6.700
Beckum;51.750;8.050
Bedburg;51.000;6.567
Bedburg-Hau;51.767;6.183
Bederkesa;53.633;8.850
Beelen;51.933;8.117
Beelitz;52.239;12.985
Beerfelden;49.567;8.967
Beesenlaublingen;51.716;11.692
Beeskow;52.172;14.250
Beesten;52.433;7.500
Beetzendorf;52.702;11.082
Behringen;51.023;10.514
Beierfeld;50.567;12.797
Beiersdorf;51.073;14.548
Beilngries;49.033;11.467
Beilrode;51.569;13.075
Beilstein;49.050;9.317
Beimerstetten;48.483;9.983
