City;Lat;Lng
Burgbernheim;49.450;10.333
Burgbrohl;50.467;7.283
Burgdorf;52.150;10.217
Burgdorf;52.450;10.017
Burgebrach;49.833;10.750
Burggen;47.783;10.817
Burghaslach;49.733;10.600
Burghaun;50.700;9.733
Burghausen;48.167;12.833
Burgheim;48.700;11.017
Burgkirch an der Alz;48.167;12.733
Burgkunstadt;50.133;11.250
Burglauer;50.283;10.183
Burglengenfeld;49.217;12.050
Burgoberbach;49.233;10.600
Burgpreppach;50.133;10.650
Burgrieden;48.233;9.933
Burgschwalbach;50.283;8.083
Burgsinn;50.150;9.650
Burgstetten;48.933;9.367
Burgstädt;50.917;12.815
Burgthann;49.350;11.317
Burgwald;51.000;8.750
Burgwedel;52.500;9.867
Burgwindheim;49.833;10.600
Burk;49.133;10.483
Burkardroth;50.267;10.000
Burkau;51.177;14.176
Burkhardswalde;51.078;13.434
Burkhardtsdorf;50.741;12.924
Burladingen;48.300;9.117
Burscheid;51.083;7.117
Burtenbach;48.333;10.450
Busdorf;54.483;9.550
Buseck;50.617;8.783
Busenberg;49.133;7.833
Butjadingen;53.550;8.350
Buttenheim;49.800;11.033
Buttenwiesen;48.600;10.717
Buttstädt;51.122;11.414
Butzbach;50.433;8.667
Buxheim;48.000;10.133
Buxheim;48.800;11.300
Buxtehude;53.483;9.700
Bärenstein;50.502;13.029
Bärnau;49.817;12.433
Böbing;47.750;10.983
Böbingen an der Rems;48.817;9.917
Böblingen;48.683;9.017
Böbrach;49.067;13.033
Böhl-Iggelheim;49.367;8.317
Böhlen;51.204;12.384
Böhmenkirch;48.683;9.933
Böhringen;51.030;13.154
Bönebüttel;54.067;10.050
Bönen;51.600;7.767
Bönnigheim;49.050;9.100
Bönningstedt;53.667;9.900
Börger;52.917;7.533
Börln;51.378;12.934
Börnichen;50.750;13.145
Börnsen;53.467;10.283
Börsborn;49.433;7.400
Börssum;52.067;10.583
Börtlingen;48.750;9.633
Bösdorf;54.133;10.483
Bösel;53.000;7.950
Bösingen;48.233;8.567
Böttingen;48.100;8.800
Bötzingen;48.067;7.717
Bötzow;52.656;13.144
Büchel;50.167;7.083
Büchen;53.483;10.617
Büchenbach;49.267;11.050
Büchlberg;48.667;13.517
Bückeburg;52.267;9.050
Bücken;52.783;9.133
Büddenstedt;52.167;11.017
Büdelsdorf;54.317;9.667
Büdingen;50.283;9.100
Bühl;48.700;8.133
Bühlertal;48.683;8.200
Bühlertann;49.050;9.917
Bühlerzell;49.000;9.917
Bülkau;53.750;8.983
Bünde;52.200;8.583
Büren;51.550;8.567
Bürgel;50.943;11.746
Bürgstadt;49.717;9.267
Bürstadt;49.650;8.450
Büsingen;47.700;8.683
Büsum;54.133;8.867
Büttelborn;49.900;8.517
Bütthard;49.600;9.867
Bützow;53.849;11.981
Cadenberge;53.767;9.050
Cadolzburg;49.467;10.850
Cainsdorf;50.683;12.493
Calau;51.750;13.958
Calbe;51.904;11.768
Calberlah;52.417;10.617
Calden;51.417;9.400
Calvörde;52.399;11.299
Calw;48.733;8.733
Camberg;50.300;8.267
Camburg;51.057;11.710
Cappeln (Oldenburg);52.817;8.117
Caputh;52.349;13.000
Carlow;53.757;10.935
Carlsberg;49.500;8.033
Castrop-Rauxel;51.550;7.317
Celle;52.633;10.083
Cham;49.217;12.667
Chamerau;49.200;12.750
Chemnitz;50.830;12.917
Chieming;47.900;12.533
Chiemsee;47.867;12.400
Clausen;49.267;7.683
Clausnitz;50.741;13.489
Claussnitz;50.938;12.888
Clausthal-Zellerfeld;51.800;10.333
Cleebronn;49.050;9.033
Clenze;52.933;10.950
Cloppenburg;52.850;8.050
Coburg;50.267;10.967
Cochem;50.150;7.167
Coesfeld;51.933;7.167
Colbitz;52.321;11.608
Colditz;51.138;12.798
Collenberg;49.783;9.333
Colmberg;49.350;10.417
Colmnitz;50.911;13.493
Conradsdorf;50.950;13.377
Contwig;49.250;7.433
Coppenbrügge;52.117;9.550
Cornberg;51.050;9.867
Cossebaude;51.089;13.632
Coswig;51.126;13.577
Coswig;51.888;12.442
Cotta;50.906;13.971
Cottbus;51.766;14.335
Crailsheim;49.133;10.067
Cranzahl;50.514;12.993
Crawinkel;50.782;10.791
Creglingen;49.467;10.033
Cremlingen;52.250;10.650
Creussen;49.850;11.633
Creuzburg;51.055;10.243
Crimmitschau;50.817;12.388
Crinitz;51.741;13.761
Crivitz;53.580;11.646
Crossen;50.757;12.493
Crostau;51.080;14.471
Crostwitz;51.241;14.250
Crottendorf;50.521;12.949
Cunersdorf;50.557;13.007
Cunewalde;51.099;14.529
Cuxhaven;53.867;8.700
Cämmerswalde;50.709;13.500
Cölbe;50.850;8.783
Daaden;50.733;7.967
Dachau;48.267;11.433
Dachsbach;49.650;10.700
Dachsberg (Südschwarzwald);47.717;8.100
Dagebüll;54.733;8.717
Dahlem;50.383;6.550
Dahlen;51.365;13.000
Dahlenburg;53.200;10.750
Dahlewitz;52.326;13.443
Dahme;51.872;13.428
Dahme;54.217;11.083
Dahn;49.150;7.783
Daisendorf;47.717;9.267
Dallgow;52.539;13.083
Dammbach;49.867;9.333
Damp;54.583;9.983
Danndorf;52.433;10.917
Danneberg (Elbe);53.100;11.100
Dannstadt-Schauerheim;49.433;8.317
Dargun;53.897;12.859
Darmstadt;49.867;8.650
Dasing;48.383;11.050
Dassel;51.800;9.683
Dassendorf;53.500;10.383
Dassow;53.911;10.981
Datteln;51.650;7.350
Dattenberg;50.550;7.300
Dauchingen;48.083;8.550
Daun;50.200;6.833
Dausenau;50.333;7.767
Dautphetal;50.867;8.550
Deckenpfronn;48.650;8.817
Dedeleben;52.037;10.888
Dedelstorf;52.700;10.500
Deensen;51.867;9.600
Deggendorf;48.833;12.967
Deggenhausertal;47.783;9.400
Deggingen;48.600;9.717
Deidesheim;49.400;8.183
Deilingen;48.183;8.783
Deining;49.217;11.533
Deiningen;48.867;10.567
Deinste;53.533;9.450
Deisenhausen;48.250;10.333
Deisslingen;48.067;8.600
Deizisau;48.717;9.383
Delbrück;51.767;8.567
Delitzsch;51.525;12.337
Dellfeld;49.233;7.483
Delligsen;51.950;9.800
Delmenhorst;53.050;8.633
Demitz;51.149;14.254
Demmin;53.908;13.047
Denkendorf;48.700;9.317
Denkendorf;48.933;11.467
Denkingen;48.117;8.733
Denklingen;47.917;10.850
Denkte;52.150;10.617
Dentlein am Forst;49.150;10.417
Denzlingen;48.067;7.883
Derenburg;51.874;10.907
Dermbach;50.718;10.123
Dernau;50.533;7.050
Dernbach (Westerwald);50.467;7.783
Dersum;52.967;7.283
Despetal;52.100;9.817
Dessau;51.835;12.236
Detern;53.217;7.683
Detmold;51.933;8.883
Dettelbach;49.800;10.167
Dettenhausen;48.617;9.100
Dettenheim;49.167;8.417
Dettighofen;47.617;8.483
Dettingen an der Ems;48.533;9.350
Dettingen an der Iller;48.117;10.117
Dettingen Unter Teck;48.617;9.450
Dettum;52.167;10.667
Deuben;51.112;12.072
Deuerling;49.033;11.900
Deutsch Evern;53.200;10.433
Deutscheinsiedel;50.633;13.493
Deutschneudorf;50.615;13.467
Deutzen;51.117;12.435
Dieblich;50.317;7.467
Dieburg;49.900;8.833
Diedorf;48.350;10.783
Diekholzen;52.100;9.933
Dielheim;49.283;8.733
Diemelsee;51.367;8.800
Diemelstadt;51.483;9.017
Dienheim;49.833;8.350
Diepenau;52.417;8.733
Diepholz;52.600;8.367
Diera;51.202;13.445
Dierdorf;50.550;7.667
Dieskau;51.433;12.043
Diespeck;49.600;10.633
Diessen am Ammersee;47.950;11.100
Dietenheim;48.217;10.067
Dietenhofen;49.400;10.683
Dietersburg;48.500;12.933
Dietersheim;49.550;10.533
Dietfurt an der Altmühl;49.033;11.583
Dietingen;48.200;8.650
Dietmannsried;47.817;10.283
Dietramszell;47.850;11.583
Dietzenbach;50.017;8.783
Dietzhölztal;50.833;8.317
Diez;50.367;8.017
Dillenburg;50.733;8.283
Dillingen an der Donau;48.583;10.500
Dillingen/Saar;49.350;6.733
Dingelstedt;51.979;10.974
Dingelstädt;51.317;10.319
Dingolfing;48.633;12.500
Dingolshausen;49.900;10.383
Dinkelsbühl;49.067;10.317
Dinkelscherben;48.350;10.600
Dinklage;52.667;8.117
Dinslaken;51.567;6.733
Dipperz;50.550;9.800
Dippoldiswalde;50.892;13.674
Dirlewang;48.000;10.500
Dirmstein;49.567;8.250
Dischingen;48.700;10.367
Dissen am Teutoburger Wald;52.117;8.200
Dissenchen;51.766;14.390
Ditfurt;51.837;11.201
Dittelbrunn;50.083;10.217
Dittelsdorf;50.954;14.897
Dittelsheim-Hessloch;49.750;8.233
Dittenheim;49.050;10.783
Dittersbach;51.039;13.993
Dittersdorf;50.759;13.014
Ditzingen;48.833;9.067
Dobel;48.800;8.500
Doberlug-Kirchhain;51.628;13.563
Doberschau;51.154;14.401
Dogern;47.617;8.167
Dohna;50.959;13.862
Dollart;53.283;7.233
Dollern;53.533;9.550
Dollnstein;48.867;11.067
Dombühl;49.250;10.283
Dommershausen;50.150;7.400
Dommitzsch;51.642;12.886
Donaueschingen;47.950;8.500
Donaustauf;49.033;12.217
Donauwörth;48.717;10.783
Donnersdorf;49.967;10.417
Donsieders;49.267;7.650
Donzdorf;48.683;9.817
Dorfchemnitz;50.670;12.841
Dorfen;48.267;12.150
Dorfhain;50.936;13.565
Dorfprozelten;49.783;9.383
Dormagen;51.100;6.833
Dormitz;49.600;11.117
Dornburg;50.500;8.017
Dorndorf;50.842;10.91
Dornhan;48.350;8.517
Dornstadt;48.467;9.950
Dornstetten;48.467;8.500
Dornum;53.650;7.433
Dornumersiel;53.683;7.483
Dorsten;51.667;6.967
Dortmund;51.517;7.467
Dorum;53.683;8.567
Dossenheim;49.450;8.667
Dotternhausen;48.233;8.800
Drachselsried;49.100;13.017
Drage;53.417;10.267
Drakenburg;52.683;9.217
Drangstedt;53.617;8.750
Dransfeld;51.500;9.767
Drebach;50.677;13.022
Drebber;52.650;8.417
Drebkau;51.656;14.231
Dreieich;50.017;8.700
Dreis;49.933;6.817
Drensteinfurt;51.800;7.733
Drentwede;52.750;8.567
Dresden;51.050;13.739
Driedorf;50.633;8.183
Drochtersen;53.717;9.383
Drolshagen;51.033;7.783
Droyssig;51.044;12.033
Ducherow;53.766;13.788
Dudeldorf;49.967;6.633
Dudenhofen;49.317;8.383
Duderstadt;51.517;10.267
Duggendorf;49.117;11.933
Duingen;52.000;9.700
Duisburg;51.433;6.767
Dunningen;48.217;8.500
Dunum;53.600;7.650
Durach;47.700;10.333
Durbach;48.500;8.017
Durlangen;48.850;9.800
Durmersheim;48.933;8.267
Dusslingen;48.450;9.050
Dänischenhagen;54.433;10.133
Döbeln;51.124;13.118
Döbern;51.615;14.599
Döhlau;50.283;11.950
Döllingen-Kahla;51.484;13.592
Döllnitz;51.408;12.025
Dölzig;51.353;12.199
Dömitz;53.138;11.250
Dörentrup;52.033;9.000
Dörfles-Esbach;50.283;11.000
Dörnthal;50.734;13.337
Dörpen;52.967;7.317
Dörverden;52.850;9.233
Dörzbach;49.383;9.717
Dötlingen;52.933;8.383
Dülmen;51.833;7.283
Düngenheim;50.267;7.167
Dünsen;52.917;8.633
Dürbheim;48.050;8.800
Düren;50.800;6.483
Dürmentingen;48.117;9.533
Dürnau;48.650;9.633
Dürrhennersdorf;51.050;14.621
Dürrlauingen;48.467;10.433
Dürrwangen;49.117;10.383
Dürröhrsdorf;51.030;14.007
Düsseldorf;51.233;6.783
Ebeleben;51.291;10.750
Ebelsbach;49.983;10.683
Ebenhausen;48.683;11.467
Ebensfeld;50.067;10.950
Eberbach;49.467;8.983
Eberdingen;48.883;8.967
Ebergötzen;51.567;10.100
Eberhardzell;48.000;9.833
Ebermannsdorf;49.400;11.950
Ebermannstadt;49.783;11.183
Ebern;50.100;10.800
Ebernhahn;50.467;7.767
Ebersbach;51.011;14.596
Ebersbach;51.094;13.099
Ebersbach;51.243;13.658
Ebersbach an der Fils;48.717;9.517
Ebersbach-Musbach;47.983;9.583
Ebersberg;48.083;11.967
Ebersbrunn;50.658;12.442
Ebersburg;50.450;9.783
Ebersdorf;51.080;14.699
Ebersdorf Bei Coburg;50.217;11.067
Eberstadt;49.183;9.317
Eberswalde-Finow;52.830;13.813
Ebertsheim;49.567;8.117
Ebhausen;48.583;8.683
Ebnath;49.950;11.933
Ebrach;49.850;10.500
Ebringen;47.967;7.783
Ebsdorfergrund;50.733;8.867
Ebstorf;53.033;10.417
Eching;48.300;11.617
Eching;48.500;12.067
Eching am Ammersee;48.083;11.117
Echzell;50.400;8.883
Eckartsberg;50.915;14.831
Eckental;49.583;11.250
Eckernförde;54.467;9.833
Eckersdorf;49.933;11.500
Eddelak;53.950;9.133
Edderitz;51.695;11.931
Edelsfeld;49.583;11.700
Edemissen;52.383;10.267
Edenkoben;49.283;8.133
Edermünde;51.217;9.450
Edertal;51.150;9.117
Edesheim;49.267;8.133
Edewecht;53.133;7.983
Ediger-Eller;50.100;7.167
Edingen-Neckarhausen;49.450;8.617
Effeltrich;49.667;11.100
Efringen-Kirchen;47.650;7.567
Egeln;51.943;11.433
Egelsbach;49.967;8.667
Egenhausen;48.567;8.617
Egenhofen;48.283;11.167
Egestorf;53.200;10.067
Eggebek;54.617;9.383
Eggenfelden;48.400;12.767
Eggenstein-Leopoldshafen;49.100;8.383
Eggenthal;47.917;10.517
Eggermühlen;52.567;7.817
Eggersdorf;52.539;13.822
Eggesin;53.683;14.081
Eggingen;47.700;8.400
Egglham;48.533;13.067
Eggolsheim;49.767;11.067
Eggstätt;47.933;12.383
Eging am See;48.717;13.267
Egling;47.933;11.517
Egling an der Paar;48.183;10.983
Egloffstein;49.700;11.250
Egmating;48.000;11.800
Ehekirchen;48.633;11.100
Ehingen;49.083;10.550
Ehingen (Donau);48.283;9.733
Ehningen;48.667;8.933
Ehra-Lessien;52.567;10.783
Ehrenberg;50.993;14.152
Ehrenberg (Rhön);50.500;10.000
Ehrenburg;52.750;8.700
Ehrenfriedersdorf;50.647;12.971
Ehrenkirchen;47.917;7.750
Ehringshausen;50.600;8.383
Eibau;50.982;14.681
Eibelstadt;49.733;10.000
Eibenstock;50.495;12.601
Eich;49.750;8.400
Eichenau;48.167;11.317
Eichenbarleben;52.170;11.399
Eichenbühl;49.700;9.333
Eichendorf;48.633;12.850
Eichenzell;50.500;9.683
Eichstetten;48.100;7.750
Eichstätt;48.900;11.183
Eichwalde;52.376;13.629
Eickendorf;51.945;11.670
Eicklingen;52.550;10.183
Eigeltingen;47.867;8.900
Eilenburg;51.454;12.623
Eilenstedt;51.986;11.037
Eilsleben;52.149;11.205
Eime;52.083;9.717
Eimeldingen;47.633;7.600
Eimen;51.883;9.783
Eimke;52.967;10.317
Einbeck;51.817;9.867
Einhausen;49.667;8.550
Einsiedel;50.771;12.975
Eisdorf;51.767;10.183
Eiselfing;48.050;12.233
Eisenach;50.977;10.315
Eisenbach (Hochschwarzwald);47.950;8.267
Eisenberg;50.972;11.899
Eisenberg (Pfalz);49.567;8.067
Eisenheim;49.883;10.167
Eisenhüttenstadt;52.151;14.634
Eisfeld;50.431;10.910
Eisingen;48.950;8.667
Eisingen;49.767;9.833
Eisleben;51.532;11.543
Eislingen/Fils;48.700;9.700
Eitelborn;50.383;7.717
Eitensheim;48.817;11.317
Eiterfeld;50.767;9.800
Eitorf;50.767;7.450
Eitting;48.367;11.900
Elbe;52.083;10.267
Elbingerode;51.773;10.802
Elbtal;50.500;8.067
Elchesheim-Illingen;48.933;8.217
Elchingen;48.450;10.100
Eldena;53.229;11.418
Eldingen;52.683;10.350
Elfershausen;50.150;9.967
Elgersburg;50.702;10.854
Elkenroth;50.733;7.883
Ellefeld;50.486;12.391
Ellenberg;49.017;10.217
Ellerau;53.750;9.917
Ellerbek;53.667;9.867
Ellerstadt;49.467;8.267
Ellhofen;49.150;9.317
Ellingen;49.067;10.967
Ellrich;51.587;10.659
Ellwangen (Jagst);48.967;10.133
Ellzee;48.333;10.317
Elmenhorst;53.767;10.267
Elmenhorst;54.218;13.063
Elmshorn;53.750;9.650
Elmstein;49.350;7.933
Elsdorf;50.933;6.567
Elsdorf;53.250;9.350
Elsdorf-Westermühlen;54.267;9.533
Elsenfeld;49.850;9.167
Elsfleth;53.233;8.467
Elsnig;51.612;12.926
Elstal;52.539;13.000
Elsterberg;50.610;12.167
Elstertrebnitz;51.144;12.232
Elsterwerda;51.461;13.522
Elstra;51.225;14.136
Elterlein;50.583;12.870
Eltmann;49.967;10.683
Eltville am Rhein;50.033;8.133
Elxleben;51.050;10.948
Elz;50.417;8.033
Elzach;48.167;8.067
Elze;52.117;9.733
Elztal;49.400;9.200
Embsen;53.183;10.350
Emden;53.367;7.200
Emkendorf;54.267;9.850
Emmelsbüll-Horsbüll;54.817;8.700
Emmelshausen;50.150;7.567
Emmendingen;48.117;7.850
Emmerich;51.833;6.250
Emmering;48.000;12.050
Emmering;48.183;11.283
Emmerting;48.200;12.767
Emmingen-Liptingen;47.933;8.850
Empfingen;48.400;8.717
Emsbüren;52.400;7.283
Emsdetten;52.167;7.533
Emskirchen;49.550;10.717
Emstal;51.250;9.267
Emstek;52.833;8.150
Emtinghausen;52.933;8.967
Endingen;48.150;7.700
Endorf in Oberbayern;47.900;12.300
Engeln;52.800;8.917
Engelsberg;48.117;12.550
Engelsbrand;48.833;8.650
Engelsdorf;51.330;12.478
Engelskirchen;50.983;7.417
Engelthal;49.467;11.400
Engen;47.850;8.767
Enger;52.133;8.567
Engstingen;48.383;9.283
Eningen Unter Achalm;48.483;9.267
Enkenbach-Alsenborn;49.483;7.900
Enkirch;49.983;7.133
Ennepetal;51.300;7.367
Ennigerloh;51.833;8.033
Ensdorf;49.350;11.933
Ense;51.483;7.967
Enzklösterle;48.667;8.467
Epfenbach;49.333;8.917
Epfendorf;48.250;8.600
Eppelborn;49.400;6.967
Eppelheim;49.400;8.633
Eppenbrunn;49.117;7.567
Eppendorf;50.800;13.228
Eppertshausen;49.950;8.850
Eppingen;49.133;8.917
Eppishausen;48.167;10.517
Eppstein;50.133;8.400
Erbach;48.333;9.900
Erbach;49.667;9.000
Erbendorf;49.833;12.050
Erdeborn;51.475;11.630
Erding;48.300;11.900
Erdmannhausen;48.950;9.300
Erdmannsdorf;50.821;13.076
Erdweg;48.333;11.300
Eresing;48.083;11.017
Erfde;54.317;9.317
Erftstadt;50.800;6.767
Erfurt;50.986;11.022
Erfweiler;49.167;7.817
Ergersheim;49.517;10.333
Ergolding;48.583;12.167
Ergoldsbach;48.700;12.200
Ering;48.300;13.150
Eriskirch;47.633;9.533
Erkelenz;51.083;6.317
Erkenbrechtsweiler;48.567;9.433
Erkheim;48.033;10.350
Erkner;52.424;13.754
Erkrath;51.217;6.917
Erla;50.516;12.793
Erlabrunn;49.867;9.850
Erlangen;49.600;11.000
Erlau;51.007;12.934
Erlbach;48.300;12.783
Erlbach;50.314;12.377
Erlenbach;49.167;9.267
Erlenbach am Main;49.800;9.167
Erlenbach Bei Marktheidenfeld;49.817;9.633
Erlenmoos;48.067;9.983
Erlensee;50.167;8.983
Erligheim;49.017;9.100
Ermsleben;51.729;11.351
Erndtebrück;50.983;8.250
Ernsgaden;48.733;11.567
Erolzheim;48.100;10.067
Erpel;50.583;7.233
Ertingen;48.100;9.467
Erwitte;51.617;8.333
Erxleben;52.220;11.243
Erzhausen;49.950;8.633
Eschach;48.883;9.867
Eschau;49.817;9.250
Eschbach;47.883;7.650
Eschborn;50.150;8.567
Eschbronn;48.250;8.467
Escheburg;53.467;10.317
Eschede;52.733;10.233
Eschelbronn;49.317;8.867
Eschenbach;48.650;9.667
Eschenbach in der Oberpfalz;49.750;11.833
Eschenburg;50.817;8.333
Eschenlohe;47.600;11.183
Eschershausen;51.933;9.633
Eschlkam;49.300;12.917
Eschwege;51.183;10.050
Eschweiler;50.817;6.267
Esens;53.650;7.617
Esgrus;54.733;9.783
Eslarn;49.583;12.517
Eslohe (Sauerland);51.267;8.167
Espelkamp;52.383;8.633
Espenau;51.400;9.467
Esselbach;49.850;9.533
Essen;51.467;7.017
Essen (Oldenburg);52.717;7.933
Essenbach;48.617;12.217
Essenheim;49.933;8.167
Essingen;48.817;10.033
Essingen;49.233;8.167
Esslingen am Neckar;48.750;9.300
Estenfeld;49.833;10.017
Esterwegen;53.000;7.633
Esthal;49.383;7.983
Estorf;52.583;9.133
Estorf;53.583;9.200
Ettal;47.567;11.100
Ettenheim;48.250;7.817
Ettlingen;48.950;8.417
Ettringen;48.100;10.650
Ettringen;50.367;7.217
Etzdorf;51.048;13.184
Etzenricht;49.633;12.100
Euba;50.835;13.022
Euerbach;50.067;10.133
Euerdorf;50.150;10.017
Eurasburg;47.850;11.400
Eurasburg;48.333;11.083
Euskirchen;50.667;6.783
Eussenheim;49.983;9.817
Eutin;54.133;10.617
Eutingen im Gäu;48.483;8.733
Everswinkel;51.933;7.850
Evessen;52.183;10.717
Extertal;52.100;9.117
Eydelstedt;52.700;8.550
Eystrup;52.783;9.217
Fachbach;50.333;7.700
Fahrdorf;54.500;9.583
Fahrenbach;49.433;9.150
Fahrenkrug;53.950;10.250
Fahrenzhausen;48.350;11.567
Falkenau;50.860;13.112
Falkenberg;48.467;12.733
Falkenberg;51.589;13.243
Falkenberg;52.803;13.955
Falkenhain;51.397;12.871
Falkensee;52.569;13.102
Falkenstein;49.100;12.483
Falkenstein;50.477;12.370
Fallingbostel;52.867;9.700
Fambach;50.741;10.116
Farchant;47.533;11.117
Farnroda;50.940;10.391
Farnstädt;51.429;11.565
Fassberg;52.900;10.167
Faulbach;49.783;9.450
Fehrbellin;52.814;12.761
Feilbingert;49.783;7.800
Feilitzsch;50.367;11.933
Feldafing;47.950;11.300
Feldatal;50.650;9.167
Feldberg;53.339;13.427
Feldberg (Schwarzwald);47.867;8.050
Felde;54.300;9.933
Feldkirchen;48.150;11.733
Feldkirchen;48.833;12.533
Feldkirchen-Westerham;47.900;11.833
Fell;49.767;6.783
Fellbach;48.817;9.283
Felm;54.417;10.067
Felsberg;51.133;9.417
Fensterbach;49.417;12.050
Ferdinandshof;53.667;13.888
Fernwald;50.550;8.783
Feucht;49.383;11.217
Feuchtwangen;49.167;10.333
Fichtelberg;50.000;11.850
Fichtenau;49.067;10.217
Fichtenberg;48.983;9.717
Filderstadt;48.683;9.217
Filsum;53.250;7.633
Finnentrop;51.167;7.967
Finning;48.017;11.017
Finningen;48.650;10.500
Finowfurt;52.846;13.679
Finsing;48.217;11.833
Finsterbergen;50.837;10.594
Finsterwalde;51.633;13.713
Fintel;53.167;9.667
Fischach;48.283;10.650
Fischbach;49.733;7.400
Fischbach Bei Dahn;49.083;7.717
Fischbachau;47.717;11.950
Fischbachtal;49.767;8.817
Fischen im Allgäu;47.467;10.267
Fischerbach;48.283;8.117
Flachslanden;49.400;10.517
Fladungen;50.517;10.150
Fleckeby;54.483;9.700
Flein;49.100;9.217
Flensburg;54.783;9.433
Flieden;50.417;9.567
Flintbek;54.250;10.067
Flintsbach am Inn;47.717;12.133
Floh;50.755;10.486
Flonheim;49.783;8.033
Florstadt;50.317;8.867
Floss;49.717;12.283
Flossenbürg;49.733;12.350
Fluorn-Winzeln;48.300;8.483
Flöha;50.865;13.065
Flörsbachtal;50.133;9.483
Flörsheim am Main;50.017;8.433
Flörsheim-Dalsheim;49.650;8.200
Flöthe;52.083;10.467
Fockbek;54.300;9.600
Forbach;48.683;8.367
Forchheim;48.167;7.700
Forchheim;49.717;11.050
Forchtenberg;49.283;9.567
Forst;49.150;8.583
Forst;51.750;14.647
Forstern;48.183;11.983
Forstinning;48.167;11.917
Framersheim;49.767;8.183
Frammersbach;50.067;9.467
Frankenau;50.991;12.917
Frankenau;51.100;8.933
Frankenberg;50.911;13.036
Frankenberg (Eder);51.067;8.800
Frankenhardt;49.083;9.983
Frankenstein;49.433;7.983
Frankenthal (Pfalz);49.533;8.350
Frankfurt am Main;50.117;8.683
Frankfurt an der Oder;52.342;14.545
Frankleben;51.310;11.931
Franzburg;54.188;12.879
Frasdorf;47.800;12.283
Frauenau;48.983;13.300
Frauenhain;51.388;13.471
Frauenneuharting;48.033;12.050
Fraunberg;48.367;12.000
Fraureuth;50.709;12.359
Frechen;50.917;6.817
Freckenfeld;49.067;8.117
Freden (Leine);51.933;9.900
Fredenbeck;53.533;9.400
Fredersdorf;52.523;13.754
Frei-Laubersheim;49.800;7.900
Freiamt;48.167;7.917
Freiberg;50.917;13.348
Freiberg am Neckar;48.933;9.200
Freiburg (Elbe);53.833;9.283
Freiburg im Breisgau;48.000;7.850
Freienhufen;51.587;13.966
Freiensteinau;50.433;9.400
Freienwill;54.733;9.500
Freigericht;50.150;9.117
Freihung;49.633;11.900
Freilassing;47.850;12.983
Freinsheim;49.500;8.217
Freisen;49.550;7.250
Freising;48.400;11.750
Freistatt;52.633;8.650
Freital;50.998;13.652
Frellstedt;52.200;10.917
Fremdingen;48.967;10.450
Frensdorf;49.817;10.867
Freren;52.483;7.550
Freudenberg;49.483;11.983
Freudenberg;49.750;9.317
Freudenberg;50.900;7.883
Freudenburg;49.550;6.533
Freudenstadt;48.467;8.417
Freudental;49.017;9.067
Freyburg;51.216;11.768
Freyenstein;53.289;12.358
Freystadt;49.200;11.333
Freyung;48.800;13.550
Frickenhausen;48.600;9.367
Frickenhausen am Main;49.667;10.100
Frickingen;47.817;9.267
Fridingen an der Donau;48.017;8.933
Fridolfing;48.000;12.833
Friedberg;48.350;10.983
Friedberg (Hessen);50.333;8.767
Friedeburg;53.450;7.833
Friedelsheim;49.450;8.217
Friedenfels;49.883;12.100
Friedenweiler;47.917;8.250
Friedersdorf;51.021;14.581
Friedersdorf;51.649;12.366
Friedewald;50.717;7.967
Friedewald;50.883;9.867
Friedland;51.417;9.917
Friedland;53.672;13.554
Friedrichroda;50.860;10.572
Friedrichsdorf;50.250;8.650
Friedrichsgrün;50.686;12.563
Friedrichshafen;47.650;9.483
Friedrichshain;51.599;14.570
Friedrichskoog;54.017;8.900
Friedrichstadt;54.383;9.083
Friedrichsthal;49.333;7.100
Friedrichsthal;52.796;13.280
Frielendorf;50.983;9.333
Friesack;52.743;12.576
Friesenhagen;50.900;7.800
Friesenheim;48.367;7.883
Friesenried;47.867;10.533
Friesoythe;53.017;7.867
Friolzheim;48.833;8.833
Frittlingen;48.133;8.717
Fritzlar;51.133;9.283
Frohburg;51.057;12.554
Frohnau;50.585;12.989
Fronhausen;50.700;8.700
Fronreute;47.867;9.583
Frontenhausen;48.550;12.533
Frose;51.798;11.373
Fröndenberg;51.483;7.767
Fuchsmühl;49.933;12.150
Fuchsstadt;50.117;9.933
Fuchstal;47.933;10.833
Fulda;50.550;9.683
Fuldabrück;51.267;9.500
Fuldatal;51.350;9.533
Furth;48.583;12.033
Furtwangen;48.050;8.200
Fussgönheim;49.467;8.300
Föhren;49.867;6.767
Förderstedt;51.894;11.630
Fünfstetten;48.833;10.767
Fürfeld;49.783;7.900
Fürstenau;52.517;7.683
Fürstenberg;51.733;9.400
Fürstenberg;53.181;13.142
Fürstenfeldbruck;48.183;11.267
Fürstenstein;48.717;13.333
Fürstenwalde;52.356;14.068
Fürstenzell;48.517;13.317
Fürth;49.483;10.983
Fürth;49.650;8.783
Fürthen;50.783;7.667
Füssen;47.567;10.700
Gablenz;51.534;14.665
Gablingen;48.450;10.817
Gachenbach;48.500;11.250
Gadebusch;53.700;11.115
Gaggenau;48.800;8.317
Gahlenz;50.830;13.217
Gaienhofen;47.683;8.983
Gaildorf;49.000;9.767
Gailingen;47.700;8.750
Gaimersheim;48.800;11.367
Gaissach;47.750;11.583
Gammelsdorf;48.550;11.950
Gammelshausen;48.633;9.650
Gammertingen;48.250;9.217
Ganderkesee;53.033;8.550
Gangelt;51.000;6.000
Gangkofen;48.433;12.567
